FECHA;CÓDIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
7/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Olmedo;$25 a $30 dólares
8/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, CEBOLLA, AJO;Av. Olmedo;$15 a $20 dólares
9/6/2023;2.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, AJO;Av. Olmedo;$35 a $40 dólares
10/6/2023;2.2;TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Olmedo;$30 a $35 dólares
11/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Olmedo;Más de $40 dólares
5/6/2023;3.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA;Córdova;$5 a $10 dólares
6/6/2023;3.1;LECHUGA, TOMATES, CHOCLO, BRÓCOLI, CEBOLLA;Córdova;$15 a $20 dólares
7/6/2023;3.1;TOMATES, CHOCLO, ZANAHORIA, CEBOLLA BLANCA, AJO;Córdova;$5 a $10 dólares
8/6/2023;3.1;TOMATES, CHOCLO, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA;Córdova;$10 a $15 dólares
9/6/2023;3.1;LECHUGA, PAPAS, CHOCLO, ZANAHORIA;Córdova;$5 a $10 dólares
10/6/2023;3.1;ZANAHORIA, CEBOLLA BLANCA, AJO;Córdova;$5 a $10 dólares
11/6/2023;3.1;LECHUGA, CHOCLO, ZANAHORIA, BRÓCOLI;Córdova;$5 a $10 dólares
5/6/2023;4.3;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, AJO;Av. Paulo Emilio Macias;$20 a $25 dólares
6/6/2023;4.3;TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA;Av. Paulo Emilio Macias;$5 a $10 dólares
7/6/2023;4.3;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Paulo Emilio Macias;$20 a $25 dólares
8/6/2023;4.3;LECHUGA, BRÓCOLI, CEBOLLA, AJO;Av. Paulo Emilio Macias;$10 a $15 dólares
9/6/2023;4.3;TOMATES, CEBOLLA, CEBOLLA BLANCA;Av. Paulo Emilio Macias;$5 a $10 dólares
10/6/2023;4.3;TOMATES, CHOCLO, ZANAHORIA;Av. Paulo Emilio Macias;$10 a $15 dólares
11/6/2023;4.3;CHOCLO;Av. Paulo Emilio Macias;$5 a $10 dólares
